sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
14.277,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
14.379,['note_on'],[0],[64],[63],mp,0,1,0,0,0,0
14.49,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
14.629,['note_on'],[0],[57],[61],p,0,1,0,0,"[124, 110, 94, 72, 0]",0
14.734,['note_on'],[0],[60],[52],p,0,1,0,0,"[16, 28, 42, 52, 60, 66, 72, 78, 86, 88, 92, 96]",0
14.86,['note_on'],[0],[64],[57],p,0,1,0,0,"[98, 100, 102, 104, 106, 108, 110, 112, 114, 116, 120, 124, 126, 127]",0
14.997,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
15.128,['note_on'],[0],[72],[87],mf,1,1,0,0,0,0
15.231,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
15.361,['note_on'],[0],[64],[54],p,0,1,0,0,0,0
15.479,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
15.627,['note_on'],[0],[57],[61],p,0,1,0,0,"[126, 114, 96, 78, 0]",0
15.729,['note_on'],[0],[60],[57],p,0,1,0,0,"[2, 12, 22, 32, 40, 48, 54, 58, 64, 66, 70, 74, 78, 80, 84]",0
15.855,['note_on'],[0],[67],[67],mp,0,1,0,0,"[88, 90, 96, 98, 100, 104, 106, 110, 112, 116, 118, 122, 124, 127]",0
15.985,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
16.096,['note_on'],[0],[79],[89],f,1,1,0,0,0,0
16.205,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
16.336,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
16.469,['note_on'],[0],[79],[65],mp,0,1,0,0,0,0
16.603,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
16.73,['note_on'],[0],[60],[54],p,0,1,0,0,0,0
16.844,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
16.98,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
17.089,['note_on'],[0],[79],[91],f,1,1,0,0,0,0
17.428,['note_on'],[0],[72],[50],p,0,1,0,0,0,0
17.556,['note_on'],[0],[50],[63],mp,0,1,0,0,"[116, 102, 64, 4, 0]",0
17.668,['note_on'],[0],[57],[54],p,0,1,0,0,"[6, 20, 30, 42, 50, 56, 60, 64, 68, 70, 72, 74, 76, 78, 80]",0
17.77,['note_on'],[0],[66],[57],p,0,1,0,0,"[84, 86, 88, 90, 92, 96, 98, 100, 104, 106, 110, 112, 114, 116, 120, 122]",0
17.897,['note_on'],[0],[69],[39],pp,0,1,0,0,"[124, 126, 127]",0
18.04,['note_on'],[0],[78],[73],mp,0,1,0,0,0,0
18.18,['note_on'],[0],[66],[61],p,0,1,0,0,0,0
18.292,['note_on'],[0],[69],[40],pp,0,1,0,0,0,0
18.576,['note_on'],[0],[50],[54],p,0,1,0,0,0,0
18.708,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
18.816,['note_on'],[0],[62],[52],p,0,1,0,0,0,0
18.959,['note_on'],[0],[66],[52],p,0,1,0,0,0,0
19.059,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
19.22,['note_on'],[0],[66],[69],mp,0,1,0,0,0,0
19.325,['note_on'],[0],[62],[52],p,0,1,0,0,0,0
19.438,['note_on'],[0],[66],[61],p,0,1,0,0,0,0
19.602,['note_on'],[0],[52],[61],p,0,1,0,0,"[120, 110, 100, 88, 74, 58, 36, 0]",0
19.711,['note_on'],[0],[55],[57],p,0,1,0,0,"[6, 16, 26, 32, 42, 48, 52, 56, 60, 64, 65, 68, 70]",0
19.816,[],[],[],[],,0,0,0,0,"[72, 74, 78, 80, 84, 86, 88, 90, 96, 98, 100, 102, 106, 108, 112, 114, 118]",0
19.971,['note_on'],[0],[67],[57],p,0,1,0,0,"[120, 124, 126, 127]",0
20.115,['note_on'],[0],[71],[75],mf,0,1,0,0,0,0
20.238,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
20.353,['note_on'],[0],[64],[39],pp,0,1,0,0,0,0
20.492,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
20.623,['note_on'],[0],[52],[69],mp,0,1,0,0,0,0
20.728,['note_on'],[0],[55],[57],p,0,1,0,0,0,0
20.84,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
20.948,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
21.097,['note_on'],[0],[71],[77],mf,1,1,0,0,0,0
21.211,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
21.366,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
21.49,['note_on'],[0],[49],[54],p,0,1,0,0,0,0
21.621,[],[],[],[],,0,0,0,0,"[116, 100, 78, 30, 2, 0]",0
21.721,['note_on'],[0],[52],[49],p,0,1,0,0,"[1, 10, 20, 30, 38, 46, 50, 56, 60, 64, 65, 70, 72, 76, 78]",0
21.835,['note_on'],[0],[64],[50],p,0,1,0,0,"[80, 86, 88, 92, 98, 100, 106, 110, 116, 120, 126, 127]",0
21.949,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
22.095,['note_on'],[0],[73],[91],f,1,1,0,0,0,0
22.207,['note_on'],[0],[64],[54],p,0,1,0,0,0,0
22.357,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
22.495,['note_on'],[0],[73],[82],mf,1,1,0,0,0,0
22.63,['note_on'],[0],[55],[70],mp,0,1,0,0,0,0
22.757,['note_on'],[0],[58],[80],mf,1,1,0,0,0,0
22.861,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
22.996,['note_on'],[0],[70],[66],mp,0,1,0,0,0,0
23.123,['note_on'],[0],[79],[91],f,1,1,0,0,0,0
23.289,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
23.468,['note_on'],[0],[71],[41],pp,0,1,0,0,0,0
23.597,['note_on'],[0],[53],[52],p,0,1,0,0,"[122, 106, 88, 65, 40, 12, 0]",0
23.703,"['note_on', 'note_on']","[0, 0]","[57, 62]","[59, 52]",p,0,2,0,0,"[2, 18, 30, 44, 54, 62, 66, 72, 78, 84, 88, 90, 94, 96]",0
23.804,[],[],[],[],,0,0,0,0,"[98, 100, 102, 106, 108, 112, 116, 118, 122, 124, 127]",0
23.939,['note_on'],[0],[69],[45],pp,0,1,0,0,0,0
24.05,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
24.191,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
24.332,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
24.484,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
24.614,['note_on'],[0],[53],[69],mp,0,1,0,0,0,0
24.755,['note_on'],[0],[57],[59],p,0,1,0,0,0,0
24.877,['note_on'],[0],[60],[77],mf,1,1,0,0,0,0
24.989,['note_on'],[0],[65],[65],mp,0,1,0,0,0,0
