sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
4.356,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
4.488,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
4.609,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[77, 79, 67]","[54, 56, 58]",p,0,3,0,0,0,0
4.783,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
4.952,['note_on'],[0],[77],[81],mf,1,1,0,0,0,0
5.068,[],[],[],[],,0,0,0,0,126,0
5.217,['note_on'],[0],[62],[68],mp,0,1,0,0,"[92, 0]",0
5.382,['note_on'],[0],[67],[82],mf,1,1,0,0,"[58, 84, 110, 127]",0
5.492,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
5.602,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
5.741,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
5.88,['note_on'],[0],[69],[71],mp,0,1,0,0,0,0
5.985,"['note_on', 'note_on']","[0, 0]","[74, 72]","[50, 52]",p,0,2,0,0,0,0
6.124,['note_on'],[0],[60],[61],p,0,1,0,0,"[120, 94, 68, 44, 18, 0]",0
6.252,['note_on'],[0],[64],[58],p,0,1,0,0,"[56, 108, 127]",0
6.375,['note_on'],[0],[67],[74],mp,0,1,0,0,0,0
6.523,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
6.643,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
6.748,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
6.897,['note_on'],[0],[72],[58],p,0,1,0,0,0,0
7.028,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
7.135,['note_on'],[0],[59],[73],mp,0,1,0,0,"[94, 62, 32, 6, 0]",0
7.261,['note_on'],[0],[64],[68],mp,0,1,0,0,"[10, 30, 54, 72, 94, 114, 127]",0
7.39,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
7.519,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
7.635,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
7.746,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
7.901,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
8.007,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
8.125,['note_on'],[0],[60],[82],mf,1,1,0,0,"[100, 40, 10, 0]",0
8.254,['note_on'],[0],[64],[73],mp,0,1,0,0,"[18, 72, 96, 118, 127]",0
8.389,['note_on'],[0],[69],[76],mf,1,1,0,0,0,0
8.562,['note_on'],[0],[76],[76],mf,1,1,0,0,0,0
8.664,"['note_on', 'note_on']","[0, 0]","[83, 81]","[63, 66]",mp,0,2,0,0,0,0
8.779,['note_on'],[0],[69],[58],p,0,1,0,0,0,0
8.901,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
9.025,['note_on'],[0],[83],[90],f,1,1,0,0,0,0
9.144,['note_on'],[0],[60],[81],mf,1,1,0,0,0,0
9.249,['note_on'],[0],[64],[65],mp,0,1,0,0,"[124, 94, 62, 32, 6, 0, 10]",0
9.396,['note_on'],[0],[69],[78],mf,1,1,0,0,"[30, 54, 74, 98, 120, 127]",0
9.521,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
9.652,['note_on'],[0],[81],[98],f,1,1,0,0,0,0
9.801,['note_on'],[0],[69],[71],mp,0,1,0,0,0,0
9.922,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
10.041,"['note_on', 'note_on']","[0, 0]","[77, 79]","[56, 44]",p,0,2,0,0,0,0
10.15,['note_on'],[0],[60],[68],mp,0,1,0,0,"[124, 92]",0
10.26,['note_on'],[0],[62],[65],mp,0,1,0,0,0,0
10.419,['note_on'],[0],[66],[82],mf,1,1,0,0,"[20, 70, 92, 114, 127]",0
10.521,['note_on'],[0],[69],[57],p,0,1,0,0,"[114, 94, 76]",0
10.623,['note_on'],[0],[74],[54],p,0,1,0,0,"[58, 42, 30, 20, 8, 1, 0, 2, 12, 28]",0
10.725,['note_on'],[0],[66],[53],p,0,1,0,0,"[46, 65, 86, 104, 124, 127]",0
10.874,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
11.021,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
11.134,['note_on'],[0],[60],[53],p,0,1,0,0,"[104, 42, 16, 0]",0
11.245,['note_on'],[0],[62],[49],p,0,1,0,0,"[4, 44, 64, 80, 96, 108, 118, 124, 127]",0
11.362,['note_on'],[0],[66],[48],pp,0,1,0,0,0,0
11.469,['note_on'],[0],[69],[49],p,0,1,0,0,"[124, 118, 114, 108, 106, 104, 100, 96, 90, 88, 82, 78, 80]",0
11.627,['note_on'],[0],[74],[50],p,0,1,0,0,"[82, 86, 90, 94, 100, 108, 114, 120, 126, 127]",0
11.769,['note_on'],[0],[66],[54],p,0,1,0,0,0,0
11.891,['note_on'],[0],[69],[61],p,0,1,0,0,0,0
12.03,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
12.143,['note_on'],[0],[58],[63],mp,0,1,0,0,"[58, 12, 0]",0
12.264,['note_on'],[0],[62],[54],p,0,1,0,0,"[10, 34, 58, 78, 98, 118, 127]",0
12.392,['note_on'],[0],[67],[84],mf,1,1,0,0,0,0
12.511,['note_on'],[0],[74],[81],mf,1,1,0,0,0,0
12.622,['note_on'],[0],[79],[88],f,1,1,0,0,0,0
12.759,['note_on'],[0],[67],[74],mp,0,1,0,0,0,0
12.87,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
12.99,['note_on'],[0],[79],[74],mp,0,1,0,0,0,0
13.108,['note_on'],[0],[57],[68],mp,0,1,0,0,"[102, 74, 20, 1, 0]",0
13.246,['note_on'],[0],[62],[74],mp,0,1,0,0,"[22, 90, 110, 127]",0
13.38,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
13.512,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
13.632,['note_on'],[0],[79],[71],mp,0,1,0,0,0,0
13.748,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
13.858,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
14.018,['note_on'],[0],[79],[74],mp,0,1,0,0,0,0
14.143,['note_on'],[0],[59],[74],mp,0,1,0,0,"[116, 90, 8, 0]",0
14.272,['note_on'],[0],[60],[74],mp,0,1,0,0,"[18, 42, 64, 84, 100, 116, 126, 127]",0
14.405,['note_on'],[0],[64],[74],mp,0,1,0,0,0,0
14.538,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
14.679,['note_on'],[0],[73],[83],mf,1,1,0,0,0,0
14.809,['note_on'],[0],[62],[48],pp,0,1,0,0,0,0
14.917,['note_on'],[0],[66],[50],p,0,1,0,0,0,0
15.049,['note_on'],[0],[72],[71],mp,0,1,0,0,0,0
15.156,['note_on'],[0],[59],[63],mp,0,1,0,0,"[126, 100, 76, 50, 28, 4, 0]",0
15.275,['note_on'],[0],[60],[65],mp,0,1,0,0,"[8, 30, 54, 70, 88, 100, 112, 120, 124]",0
15.376,['note_on'],[0],[64],[58],p,0,1,0,0,"[126, 122, 114, 98]",0
15.477,['note_on'],[0],[67],[56],p,0,1,0,0,"[78, 34, 16, 2, 0]",0
