sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
22.366,['note_on'],[0],[64],[55],p,0,1,0,0,"[78, 86, 92, 98, 106, 112, 120, 126, 127]",0
22.518,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
22.64,['note_on'],[0],[73],[66],mp,0,1,0,0,0,0
22.767,['note_on'],[0],[64],[55],p,0,1,0,0,0,0
22.896,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
23.021,['note_on'],[0],[73],[73],mp,0,1,0,0,0,0
23.151,['note_on'],[0],[55],[56],p,0,1,0,0,"[122, 84, 60, 32, 6, 0]",0
23.257,['note_on'],[0],[58],[59],p,0,1,0,0,"[4, 16, 28, 40, 52, 60, 70, 78, 86]",0
23.399,['note_on'],[0],[64],[59],p,0,1,0,0,"[92, 98, 108, 116, 126, 127]",0
23.517,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
23.63,['note_on'],[0],[73],[73],mp,0,1,0,0,0,0
23.765,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
23.889,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
23.997,['note_on'],[0],[73],[73],mp,0,1,0,0,0,0
24.126,['note_on'],[0],[53],[63],mp,0,1,0,0,"[120, 98, 74, 44, 0]",0
24.227,['note_on'],[0],[57],[63],mp,0,1,0,0,"[1, 16, 28, 42]",0
24.372,['note_on'],[0],[62],[60],p,0,1,0,0,"[56, 64, 74, 80, 90, 96, 104, 112, 120, 127]",0
24.5,['note_on'],[0],[69],[67],mp,0,1,0,0,0,0
24.615,['note_on'],[0],[74],[80],mf,1,1,0,0,0,0
24.754,['note_on'],[0],[62],[69],mp,0,1,0,0,0,0
24.889,['note_on'],[0],[69],[78],mf,1,1,0,0,0,0
25.014,['note_on'],[0],[74],[87],mf,1,1,0,0,0,0
25.148,['note_on'],[0],[53],[67],mp,0,1,0,0,"[116, 96, 74, 46, 0]",0
25.25,['note_on'],[0],[57],[67],mp,0,1,0,0,"[8, 22, 36, 54, 64]",0
25.378,['note_on'],[0],[62],[71],mp,0,1,0,0,"[74, 86, 94, 104, 114, 124, 127]",0
25.507,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
25.612,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
25.752,['note_on'],[0],[62],[73],mp,0,1,0,0,0,0
25.88,['note_on'],[0],[69],[76],mf,1,1,0,0,0,0
25.99,['note_on'],[0],[74],[80],mf,1,1,0,0,0,0
26.126,['note_on'],[0],[53],[65],mp,0,1,0,0,"[110, 92, 66, 42, 12, 0]",0
26.229,['note_on'],[0],[56],[67],mp,0,1,0,0,"[4, 18]",0
26.37,['note_on'],[0],[62],[63],mp,0,1,0,0,"[46, 58, 68, 78, 90, 96, 104, 112, 120, 127]",0
26.499,['note_on'],[0],[65],[69],mp,0,1,0,0,0,0
26.62,['note_on'],[0],[71],[80],mf,1,1,0,0,0,0
