sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
65.184,['note_on'],[0],[62],[47],pp,0,1,0,0,0,0
65.3,['note_on'],[0],[60],[47],pp,0,1,0,0,0,0
65.423,['note_on'],[0],[57],[54],p,0,1,0,0,0,0
65.547,['note_on'],[0],[53],[50],p,0,1,0,0,0,0
65.671,['note_on'],[0],[57],[57],p,0,1,0,0,0,0
65.806,['note_on'],[0],[53],[52],p,0,1,0,0,0,0
65.948,['note_on'],[0],[57],[55],p,0,1,0,0,0,0
66.049,['note_on'],[0],[36],[51],p,0,1,0,0,"[116, 98, 78]",0
66.198,['note_on'],[0],[47],[57],p,0,1,0,0,0,0
66.357,['note_on'],[0],[67],[54],p,0,1,0,0,"[6, 28, 46, 64, 80, 94, 108, 120, 127]",0
66.459,['note_on'],[0],[71],[71],mp,0,1,0,0,0,0
66.615,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
66.764,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
66.904,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
67.024,['note_on'],[0],[71],[67],mp,0,1,0,0,0,0
67.206,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
67.34,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
67.523,['note_on'],[0],[71],[66],mp,0,1,0,0,0,0
67.676,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
67.857,['note_on'],[0],[65],[63],mp,0,1,0,0,0,0
68.075,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
68.177,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[41, 72, 64, 67]","[45, 54, 50, 52]",p,0,4,0,0,"[108, 20, 0, 16]",0
68.325,[],[],[],[],,0,0,0,0,"[30, 44, 56, 62, 72, 86, 100, 118, 127]",0
68.475,[],[],[],[],,0,0,0,0,"[126, 124, 120, 116, 112, 110, 108, 106, 104, 102, 100, 98]",0
68.575,[],[],[],[],,0,0,0,0,"[96, 94, 92, 94]",0
68.678,[],[],[],[],,0,0,0,0,"[96, 100, 102, 106, 108, 110, 112, 114, 116, 118, 120, 122, 120, 116, 114, 112, 110, 108, 106]",0
68.779,[],[],[],[],,0,0,0,0,"[104, 102, 100]",0
68.901,[],[],[],[],,0,0,0,0,"[98, 96, 94, 92, 90, 88, 86, 84, 80, 78, 74, 72, 70, 72, 70]",0
69.003,[],[],[],[],,0,0,0,0,"[68, 66, 65, 64, 62, 60, 58]",0
69.11,[],[],[],[],,0,0,0,0,"[54, 52, 50]",0
69.229,[],[],[],[],,0,0,0,0,"[48, 46, 44, 42, 40, 36, 34, 32, 30]",0
69.419,[],[],[],[],,0,0,0,0,"[28, 26]",0
69.526,[],[],[],[],,0,0,0,0,"[28, 26, 24]",0
69.681,[],[],[],[],,0,0,0,0,"[26, 28, 26, 24, 22, 20, 18, 16, 14]",0
69.994,[],[],[],[],,0,0,0,0,"[12, 10, 8, 6, 4, 2, 0]",0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
0.0,[],[],[],[26],ppp,0,0,0,0,0,0
